scenario,sim_time,day_time,tech_queue_length,station_queue_length,techs_busy,techs_idle,stations_busy,stations_idle,generated_at
base run,0,Day 0 - Monday 00:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,5,Day 0 - Monday 05:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,10,Day 0 - Monday 10:00,0,0,1,1,1,1,2026-07-16T19:34:27.108097
base run,15,Day 0 - Monday 15:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,20,Day 0 - Monday 20:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,25,Day 1 - Tuesday 01:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,30,Day 1 - Tuesday 06:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,35,Day 1 - Tuesday 11:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,40,Day 1 - Tuesday 16:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,45,Day 1 - Tuesday 21:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,50,Day 2 - Wednesday 02:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,55,Day 2 - Wednesday 07:00,1,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,60,Day 2 - Wednesday 12:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,65,Day 2 - Wednesday 17:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,70,Day 2 - Wednesday 22:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,75,Day 3 - Thursday 03:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,80,Day 3 - Thursday 08:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,85,Day 3 - Thursday 13:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,90,Day 3 - Thursday 18:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,95,Day 3 - Thursday 23:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,100,Day 4 - Friday 04:00,0,0,0,2,0,2,2026-07-16T19:34:27.108097
base run,105,Day 4 - Friday 09:00,1,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,110,Day 4 - Friday 14:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,115,Day 4 - Friday 19:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,120,Day 5 - Saturday 00:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,125,Day 5 - Saturday 05:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,130,Day 5 - Saturday 10:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,135,Day 5 - Saturday 15:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,140,Day 5 - Saturday 20:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,145,Day 6 - Sunday 01:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,150,Day 6 - Sunday 06:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,155,Day 6 - Sunday 11:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,160,Day 6 - Sunday 16:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,165,Day 6 - Sunday 21:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,170,Day 7 - Monday 02:00,2,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,175,Day 7 - Monday 07:00,6,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,180,Day 7 - Monday 12:00,4,0,1,1,1,1,2026-07-16T19:34:27.108097
base run,185,Day 7 - Monday 17:00,2,0,1,1,1,1,2026-07-16T19:34:27.108097
base run,190,Day 7 - Monday 22:00,2,0,1,1,1,1,2026-07-16T19:34:27.108097
base run,195,Day 8 - Tuesday 03:00,2,0,1,1,1,1,2026-07-16T19:34:27.108097
base run,200,Day 8 - Tuesday 08:00,3,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,205,Day 8 - Tuesday 13:00,2,0,1,1,1,1,2026-07-16T19:34:27.108097
base run,210,Day 8 - Tuesday 18:00,1,0,1,1,1,1,2026-07-16T19:34:27.108097
base run,215,Day 8 - Tuesday 23:00,1,0,1,1,1,1,2026-07-16T19:34:27.108097
base run,220,Day 9 - Wednesday 04:00,1,0,1,1,1,1,2026-07-16T19:34:27.108097
base run,225,Day 9 - Wednesday 09:00,1,0,1,1,1,1,2026-07-16T19:34:27.108097
base run,230,Day 9 - Wednesday 14:00,1,0,1,1,1,1,2026-07-16T19:34:27.108097
base run,235,Day 9 - Wednesday 19:00,1,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,240,Day 10 - Thursday 00:00,1,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,245,Day 10 - Thursday 05:00,1,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,250,Day 10 - Thursday 10:00,4,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,255,Day 10 - Thursday 15:00,3,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,260,Day 10 - Thursday 20:00,3,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,265,Day 11 - Friday 01:00,3,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,270,Day 11 - Friday 06:00,3,0,2,0,2,0,2026-07-16T19:34:27.108097
base run,275,Day 11 - Friday 11:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,280,Day 11 - Friday 16:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,285,Day 11 - Friday 21:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,290,Day 12 - Saturday 02:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,295,Day 12 - Saturday 07:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,300,Day 12 - Saturday 12:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,305,Day 12 - Saturday 17:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,310,Day 12 - Saturday 22:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,315,Day 13 - Sunday 03:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,320,Day 13 - Sunday 08:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,325,Day 13 - Sunday 13:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,330,Day 13 - Sunday 18:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,335,Day 13 - Sunday 23:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,340,Day 14 - Monday 04:00,3,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,345,Day 14 - Monday 09:00,6,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,350,Day 14 - Monday 14:00,6,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,355,Day 14 - Monday 19:00,6,1,1,1,1,1,2026-07-16T19:34:27.108097
base run,360,Day 15 - Tuesday 00:00,6,1,1,1,1,1,2026-07-16T19:34:27.108097
